,GSM461176_untreated_single,GSM461177_untreated_paired,GSM461178_untreated_paired,GSM461179_treated_single,GSM461180_treated_paired,GSM461181_treated_paired,GSM461182_untreated_single
FBgn0037347,542,319,372,541,306,433,322
FBgn0261004,2991,1672,1701,2819,1946,2600,1648
FBgn0017550,2693,1806,1628,2071,1566,1892,1439
FBgn0263619,2,1,4,6,4,4,5
FBgn0019637,2089,1616,1535,1962,1785,2270,1361
FBgn0044823,347,222,177,388,256,241,196
FBgn0037350,291,138,130,188,128,128,141
FBgn0037351,64559,49636,61200,43073,55941,67393,43444
FBgn0260002,1,0,0,4,1,0,2
FBgn0086051,0,0,0,0,0,0,0
FBgn0051551,36,28,21,38,32,11,8
FBgn0051549,812,615,720,875,896,1147,549
FBgn0037354,752,620,621,679,592,755,526
FBgn0051546,57,45,57,86,80,90,45
FBgn0051548,724,593,614,593,546,701,626
FBgn0037356,333,272,275,385,380,442,256
FBgn0027951,4997,3302,2840,3815,2994,3461,2578
FBgn0262125,6354,4959,5289,5654,5492,6953,4705
FBgn0037358,1245,859,975,1406,993,1093,1027
FBgn0037359,292,160,193,335,226,314,238
FBgn0037360,3152,2318,2479,2848,2340,3068,1855
FBgn0264902,7,3,2,11,2,1,1
FBgn0046222,1599,1024,1102,1357,1082,1297,917
FBgn0010772,2364,1458,1483,1875,1264,1610,1201
FBgn0037363,3676,2556,2286,2803,1918,2482,1900
FBgn0037364,740,417,407,767,551,580,475
FBgn0261261,2210,1824,1637,1736,1511,1620,1694
FBgn0037365,8,6,5,10,6,0,5
FBgn0004878,8,8,7,15,7,4,5
FBgn0266229,1,0,2,1,0,0,0
FBgn0037368,139,71,100,129,96,98,72
FBgn0037369,486,282,307,588,443,514,326
FBgn0037370,957,613,712,978,777,978,607
FBgn0037371,1616,1040,1098,1698,1140,1403,1046
FBgn0027497,2856,2285,2014,2425,2421,3191,1691
FBgn0037372,404,254,302,406,326,358,304
FBgn0266672,2707,1857,1891,2441,1825,2149,1698
FBgn0027608,18,23,16,23,19,14,9
FBgn0037374,1797,1281,1355,1932,1375,1718,1536
FBgn0037375,88,56,87,41,54,58,43
FBgn0037376,2139,1330,1420,2022,1248,1553,1312
FBgn0028690,3380,1934,2062,3668,2533,3106,1974
FBgn0037377,710,503,553,648,458,543,479
FBgn0037378,683,473,546,719,579,736,544
FBgn0037379,2189,1341,1190,1956,1233,1388,1181
FBgn0263353,27,13,4,42,31,23,6
FBgn0261561,158,80,100,200,137,166,76
FBgn0037382,1159,630,784,1122,815,955,622
FBgn0037383,342,261,258,313,232,304,210
FBgn0037384,348,236,252,453,268,371,280
FBgn0037385,3,2,2,3,2,1,0
FBgn0037386,43,12,23,24,24,30,38
FBgn0266702,0,0,0,0,0,0,0
FBgn0037387,27,26,34,18,22,18,20
FBgn0037388,1,0,2,3,2,0,0
FBgn0037389,2,0,5,1,0,0,1
FBgn0029088,2199,1354,1250,2313,1521,1818,1478
FBgn0085316,0,0,0,0,0,0,2
FBgn0028436,398,240,267,336,329,365,256
FBgn0037391,2194,1717,1792,1935,1709,2296,1304
FBgn0083949,25,9,18,17,6,3,4
FBgn0267399,4,0,0,10,0,0,0
FBgn0267400,0,0,0,1,0,0,0
FBgn0040679,1,0,0,1,0,0,0
FBgn0266230,0,0,0,0,0,0,0
FBgn0266231,0,0,0,1,0,0,0
FBgn0011281,1,1,1,1,2,0,0
FBgn0010403,1,2,0,3,0,0,0
FBgn0266232,2,8,0,6,0,3,2
FBgn0266233,0,0,0,3,2,0,0
FBgn0003261,33604,22421,21118,25585,19199,23000,16441
FBgn0037395,2,0,0,1,0,0,0
FBgn0037396,1,0,0,2,0,2,0
FBgn0037397,3,0,0,0,0,0,0
FBgn0266226,0,0,0,1,0,0,0
FBgn0037398,4,0,0,3,0,1,0
FBgn0037399,1,0,0,2,0,0,1
FBgn0026077,2,2,2,3,7,6,0
FBgn0266234,0,0,1,2,0,0,0
FBgn0046878,0,0,0,2,0,0,0
FBgn0046876,2,0,0,0,0,0,0
FBgn0046875,2,0,0,0,0,0,1
FBgn0037402,1,0,0,3,1,4,1
FBgn0263497,1,0,0,0,0,0,0
FBgn0263498,0,0,1,0,0,0,0
FBgn0051559,2,0,0,5,3,0,4
FBgn0037405,80,37,71,75,52,94,35
FBgn0037406,1,0,0,4,1,0,0
FBgn0266704,0,0,0,1,1,0,0
FBgn0051562,0,1,0,0,0,0,0
FBgn0037408,3,0,3,4,2,0,4
FBgn0037409,5,0,0,0,2,0,0
FBgn0037410,2,0,0,2,1,0,0
FBgn0037411,0,0,0,0,0,0,0
FBgn0037412,2,0,2,0,0,0,0
FBgn0037413,2,0,0,0,0,0,0
FBgn0027527,2,0,0,4,1,1,0
FBgn0037414,4,0,0,7,1,0,0
FBgn0037415,1,0,0,1,0,0,0
FBgn0037416,3,0,0,2,0,0,0
FBgn0037417,3,0,0,2,0,0,0
FBgn0037418,0,0,0,3,0,0,0
FBgn0037419,2,0,0,0,0,0,0
FBgn0037420,0,0,0,0,0,2,1
FBgn0037421,0,0,0,0,0,0,0
FBgn0037422,0,0,1,1,0,0,0
FBgn0040279,0,0,0,4,1,0,0
FBgn0037424,2,0,0,2,0,0,0
FBgn0051561,1,0,0,0,0,0,0
FBgn0267690,3,2,0,1,0,0,0
FBgn0051560,2,0,0,2,0,0,0
FBgn0037427,2,0,0,2,1,0,0
FBgn0037428,1,0,0,2,0,0,0
FBgn0037429,220,162,178,198,178,195,146
FBgn0037430,4,0,0,1,0,0,1
FBgn0037431,8,2,4,10,2,2,3
FBgn0037432,17,10,15,11,3,13,7
FBgn0037433,40,21,37,39,20,40,24
FBgn0261789,1856,988,1262,2131,1499,1768,1112
FBgn0037435,200,125,134,242,145,188,127
FBgn0037436,4,4,4,7,2,2,0
FBgn0267698,4462,2854,2822,3652,2780,3550,2425
FBgn0261641,3987,2501,2405,2971,2095,2583,1913
FBgn0037439,2242,1303,1336,1947,1204,1581,1198
FBgn0037440,419,278,317,454,340,366,321
FBgn0260766,25,10,7,17,8,10,19
FBgn0261006,0,0,0,0,0,0,0
FBgn0027514,411,347,369,525,449,576,326
FBgn0260645,0,0,0,0,0,0,0
FBgn0010282,2640,1554,1711,2604,2015,2469,1306
FBgn0037442,4970,3241,3264,4273,3022,4100,2951
FBgn0037443,3234,2215,2042,2460,1899,2216,1164
FBgn0264495,8043,5555,4519,6440,4880,5498,4090
FBgn0264787,2,8,2,14,6,4,7
FBgn0037445,3508,2149,1815,2456,1541,1682,1704
FBgn0037446,1847,1198,1302,1403,1155,1496,907
FBgn0037447,0,0,0,2,0,1,1
FBgn0037448,33,9,11,21,11,12,15
FBgn0011919,0,0,0,0,0,0,0
FBgn0037449,39,37,20,31,30,32,17
FBgn0053202,4,0,3,9,0,0,1
FBgn0046873,0,0,0,0,0,0,0
FBgn0037454,0,0,0,1,1,0,0
FBgn0037455,1,0,0,0,0,0,0
FBgn0037456,1,0,0,0,0,0,0
FBgn0051482,1,0,0,1,0,0,0
FBgn0250846,1,0,0,3,0,0,0
FBgn0037460,0,0,0,0,0,0,0
FBgn0037461,0,0,0,0,0,0,0
FBgn0037462,1,0,0,1,0,0,0
FBgn0051286,0,0,0,0,0,0,0
FBgn0026565,0,0,0,0,0,0,0
FBgn0010355,3901,2874,2730,3357,2756,3311,2276
FBgn0026566,1294,874,1043,1397,1131,1354,825
FBgn0262801,2757,1593,1665,2420,1923,2470,1446
FBgn0024912,221,131,136,268,142,186,109
FBgn0002522,4,2,2,9,1,0,0
FBgn0000552,0,0,0,0,0,0,0
FBgn0004777,1,0,0,0,0,0,0
FBgn0004778,0,0,0,0,0,0,0
FBgn0004779,0,0,0,0,0,0,0
FBgn0004780,4,0,0,1,0,0,0
FBgn0004781,4,0,0,1,0,0,0
FBgn0063127,1,0,1,0,0,0,0
FBgn0004782,3,0,0,0,0,0,0
FBgn0004783,2,0,0,1,0,0,0
FBgn0051481,3,0,0,5,0,0,1
FBgn0004054,0,0,0,0,0,0,0
FBgn0085326,0,0,0,1,0,0,0
FBgn0004053,2,0,0,2,0,0,0
FBgn0000166,3,0,0,3,0,0,1
FBgn0267153,1,0,0,4,0,2,0
FBgn0000071,184,134,156,969,810,1139,82
FBgn0266235,1,0,0,2,2,0,0
FBgn0261638,1,0,0,3,1,0,1
FBgn0262174,0,0,0,0,0,0,0
FBgn0263383,2,0,0,0,0,0,0
FBgn0000439,3,0,2,4,0,0,2
FBgn0261503,3,0,0,6,0,0,0
FBgn0262424,0,0,0,0,0,0,0
FBgn0267575,0,0,0,0,0,0,0
FBgn0051485,0,0,0,0,0,0,0
FBgn0026162,0,0,0,0,0,0,0
FBgn0261504,0,0,2,0,1,0,0
FBgn0026163,0,0,0,0,0,0,0
FBgn0026164,0,0,0,0,0,0,0
FBgn0000003,1,0,3,1,1,0,0
FBgn0011904,0,0,0,0,0,0,0
FBgn0003339,4,0,1,3,1,2,0
FBgn0267561,0,0,0,5,0,0,0
FBgn0267562,0,0,0,0,1,0,0
FBgn0267563,1,0,0,0,0,0,0
FBgn0267564,0,0,0,1,0,0,0
FBgn0267565,1,0,0,0,0,1,0
FBgn0267560,1,0,0,0,0,0,0
FBgn0001077,0,0,0,0,0,0,0
FBgn0266236,0,0,0,0,0,1,0
FBgn0267119,1324,0,0,864,0,0,0
FBgn0266237,0,0,0,0,0,0,0
FBgn0260642,3,2,1,7,2,0,2
FBgn0262897,6,0,0,7,0,0,0
FBgn0267559,0,0,0,0,0,0,0
FBgn0266238,1,0,2,0,0,0,0
FBgn0024289,5,0,1,5,2,0,1
FBgn0026563,3,0,0,6,0,0,0
FBgn0019828,1,0,0,1,0,0,0
FBgn0037463,1,0,0,0,0,0,1
FBgn0037464,2,0,0,2,0,0,1
FBgn0037465,700,467,598,809,637,776,563
FBgn0037466,1145,759,675,961,635,811,631
FBgn0037467,1324,849,1008,1241,1056,1309,884
FBgn0267568,10,15,3,21,9,11,13
FBgn0037468,4784,2133,2410,8631,4594,5235,2826
FBgn0010774,3357,2132,2036,2766,2086,2190,1722
FBgn0037469,340,205,259,347,290,271,213
FBgn0037470,1548,1060,1058,1798,1122,1526,901
FBgn0267567,53,27,21,44,20,32,26
FBgn0003884,43244,44671,47521,63839,73672,90930,49805
FBgn0263768,311,145,169,380,193,169,222
FBgn0040670,82,48,61,105,46,76,55
FBgn0261238,1318,1018,879,2018,1627,2027,779
FBgn0267566,0,0,1,1,0,0,0
FBgn0014863,15,4,15,21,16,17,10
FBgn0037472,378,308,342,433,385,386,272
FBgn0037473,516,308,251,418,295,373,289
FBgn0262149,7,0,3,33,1,2,1
FBgn0051248,0,4,2,5,1,1,0
FBgn0051494,0,0,0,0,0,0,0
FBgn0051491,0,0,0,0,0,0,0
FBgn0051493,3,0,1,1,3,2,0
FBgn0037475,1,0,0,3,1,0,0
FBgn0261702,0,0,0,0,0,0,0
FBgn0037477,0,0,0,0,0,0,0
FBgn0037478,510,322,367,420,413,459,280
FBgn0250732,2301,1559,1628,1655,1451,1714,1498
FBgn0011020,774,444,426,657,551,629,394
FBgn0037481,321,216,222,326,232,297,261
FBgn0267569,1,0,0,0,1,0,1
FBgn0002306,35,26,6,17,17,7,3
FBgn0037482,1519,1068,1100,1218,1121,1330,1000
FBgn0086372,1076,657,687,1262,640,765,892
FBgn0037483,20,8,16,19,10,8,9
FBgn0250845,3,0,0,7,2,2,2
FBgn0037485,3,2,0,3,0,0,0
FBgn0037486,7,2,0,6,1,0,2
FBgn0037487,16,5,7,55,7,10,6
FBgn0037488,1,0,0,0,0,0,0
FBgn0037489,1425,782,851,1297,909,1059,888
FBgn0037490,130,56,52,134,98,110,45
FBgn0037491,298,184,196,263,167,208,185
FBgn0037492,85,60,64,76,48,91,68
FBgn0011282,0,0,0,1,0,0,0
FBgn0001112,2,2,0,8,1,0,1
FBgn0265426,0,0,0,3,1,0,0
FBgn0028400,1,0,2,2,1,0,0
FBgn0037493,0,0,0,0,0,0,0
FBgn0267337,9,0,1,7,3,1,2
FBgn0265421,0,0,0,0,0,0,0
FBgn0045843,2,0,0,1,0,0,0
FBgn0260713,0,0,0,0,0,0,0
FBgn0265422,1,0,0,0,0,0,0
FBgn0037498,0,0,0,0,0,0,0
FBgn0265423,1,0,0,1,0,0,0
FBgn0265424,0,0,0,1,1,0,0
FBgn0265425,0,0,0,0,0,0,0
FBgn0051496,0,0,0,1,0,0,0
FBgn0051501,1,0,0,0,0,0,0
FBgn0262982,3,0,0,1,0,0,0
FBgn0037500,0,0,0,1,0,0,0
FBgn0004175,0,0,0,0,0,0,0
FBgn0004174,0,0,0,1,0,0,0
FBgn0004173,0,0,0,1,0,0,0
FBgn0004172,0,0,0,0,0,0,0
FBgn0015770,1,0,0,2,0,0,0
FBgn0267120,0,0,0,0,0,0,0
FBgn0261502,0,0,0,0,0,0,0
FBgn0037501,0,0,0,0,0,0,0
FBgn0051544,0,0,0,2,0,0,0
FBgn0054023,0,0,0,2,0,0,0
FBgn0037502,0,0,0,4,0,0,0
FBgn0037503,1,0,0,2,0,0,1
FBgn0011999,0,0,0,0,0,0,0
FBgn0263565,0,0,0,0,0,0,0
FBgn0011998,0,0,0,0,0,0,0
FBgn0266239,1,0,0,0,0,0,0
FBgn0012000,0,0,0,0,0,0,0
FBgn0037504,621,281,351,598,282,454,294
FBgn0043853,26,21,6,28,14,16,7
FBgn0065099,125,82,56,110,56,66,32
FBgn0012001,0,0,0,0,0,0,0
FBgn0015569,801,476,429,952,575,683,474
FBgn0261508,5,3,6,6,3,0,7
FBgn0015577,857,528,499,738,445,467,570
FBgn0037506,12,10,10,10,6,6,4
FBgn0015576,386,262,259,236,170,173,331
FBgn0017456,42,25,22,51,31,45,14
FBgn0015575,1356,850,835,1468,1142,1286,566
FBgn0015574,7,0,5,8,0,0,1
FBgn0027934,2,0,0,2,0,0,0
FBgn0015831,1,0,1,2,0,0,1
FBgn0003885,3187,2619,2600,3304,3608,3917,2656
FBgn0261393,13,8,9,9,8,14,8
FBgn0015572,22,6,8,26,26,16,9
FBgn0015571,258,181,227,248,157,200,129
FBgn0015570,3,4,8,12,3,8,2
FBgn0015568,276,146,225,500,409,502,168
FBgn0267105,1,0,0,0,0,0,0
FBgn0083963,11,0,0,9,2,2,3
FBgn0265420,0,0,0,0,0,0,0
FBgn0051146,6,0,0,9,0,2,1
FBgn0265200,1,0,0,2,1,0,0
FBgn0037512,3,0,0,4,0,0,0
FBgn0262899,0,0,0,2,0,0,0
FBgn0266240,0,0,0,1,0,0,0
FBgn0037513,98,60,76,77,56,66,78
FBgn0037514,0,2,0,2,0,0,0
FBgn0037515,1414,967,1059,1150,951,1108,686
FBgn0037516,1,0,1,0,2,2,0
FBgn0042104,121,62,56,160,103,120,62
FBgn0042102,12,10,8,35,24,23,4
FBgn0042105,4,2,0,1,1,4,0
FBgn0042103,2,0,0,0,0,0,0
FBgn0037517,1,0,2,4,2,2,0
FBgn0037518,434,224,226,413,306,380,221
FBgn0042101,2,0,2,2,1,0,1
FBgn0037519,3,0,0,3,0,0,2
FBgn0037520,0,0,0,0,0,0,0
FBgn0037521,10,0,0,4,0,2,0
FBgn0051472,98,89,74,121,92,116,45
FBgn0051473,5,0,6,1,6,6,4
FBgn0085413,30,12,24,28,13,18,7
FBgn0037525,56,20,21,86,32,34,24
FBgn0037526,309,211,210,362,212,233,239
FBgn0037529,915,564,547,812,577,735,423
FBgn0260005,93,76,76,74,43,63,72
FBgn0037530,5588,4189,4135,4687,3796,4619,4432
FBgn0024909,634,341,400,540,334,403,361
FBgn0004901,1632,1037,1125,1366,1153,1184,872
FBgn0014930,479,316,435,504,398,516,340
FBgn0014931,511,304,387,503,283,323,398
FBgn0037531,501,324,290,620,363,388,279
FBgn0002542,2352,1637,1635,2299,1715,2018,1518
FBgn0261453,0,0,0,0,0,0,1
FBgn0000504,24,3,4,46,8,2,10
FBgn0037533,8249,5411,5845,7587,5802,7296,5064
FBgn0010401,5,0,0,1,0,0,0
FBgn0259974,0,0,0,0,0,0,0
FBgn0037534,3,0,4,5,7,1,1
FBgn0037535,199,119,145,205,119,142,147
FBgn0266598,76,12,16,79,15,22,33
FBgn0037536,1972,1251,1312,2081,1164,1495,1136
FBgn0037537,1430,902,1035,1362,1017,1404,808
FBgn0040524,2,2,0,1,2,2,0
FBgn0037538,890,593,760,786,705,878,606
FBgn0037539,1335,845,795,804,637,849,648
FBgn0037540,254,141,140,234,168,183,141
FBgn0037541,3904,2793,2657,3925,3075,3303,2512
FBgn0001255,26,14,19,32,25,9,18
FBgn0037543,388,235,240,339,238,236,239
FBgn0037544,161,78,132,128,85,94,79
FBgn0010812,1667,1126,1144,1893,1303,1564,934
FBgn0266241,0,0,0,0,0,0,0
FBgn0262362,1,0,0,1,0,0,0
FBgn0263596,0,0,0,0,0,0,0
FBgn0262363,0,0,0,0,0,0,0
FBgn0037546,4,4,0,6,0,0,0
FBgn0086052,3,0,0,0,0,0,0
FBgn0037547,4,2,0,2,1,0,1
FBgn0265418,0,0,0,0,2,0,0
FBgn0037548,283,167,172,205,150,188,249
FBgn0243512,5728,2967,2619,3507,2083,2611,2427
FBgn0265419,817,577,467,590,372,341,704
FBgn0037549,3917,2767,2904,3679,3062,3614,2638
