GENEID	Length
FBGN0039290	3999
FBGN0267208	331
FBTI0019361	1107
FBGN0051287	1425
FBGN0038577	903
FBGN0037720	4218
FBGN0038033	5233
FBGN0001112	2899
FBGN0038344	6970
FBGN0037678	873
FBGN0267709	353
RR48352_TRANSPOSABLE_ELEMENT	7429
FBGN0051072	3615
FBGN0013277	2324
FBGN0037718	2217
FBGN0039520	1919
FBTI0062070	60
FBGN0286071	7745
FBGN0266701	557
FBGN0265197	544
FBGN0003002	2939
FBGN0012000	73
FBGN0264428	717
FBGN0266399	572
FBGN0041588	1841
FBGN0039557	1246
FBTI0020309	378
FBGN0051028	3775
FBGN0266598	580
FBGN0037424	1232
FBGN0038725	3641
FBGN0263757	722
FBGN0039277	2680
FBGN0039302	8553
FBGN0039461	859
FBGN0037894	3311
FBGN0039799	1595
FBGN0262290	68
FBGN0039817	1784
FBGN0051224	7361
FBGN0054008	715
FBGN0013276	2375
FBGN0039714	2223
FBGN0037832	1005
FBGN0263409	603
FBGN0037802	1114
FBGN0004781	1060
FBGN0037502	1878
FBGN0051230	416
FBGN0039328	1450
FBGN0038204	960
FBGN0285912	1584
FBGN0051116	5892
FBGN0263835	504
FBGN0266672	3363
FBGN0037292	902
FBGN0002735	911
FBGN0017550	2902
FBTI0062066	283
FBTI0059750	1274
FBGN0037679	2113
FBGN0037837	2630
FBGN0040609	561
FBGN0284417	532
FBGN0038113	1349
FBGN0014931	2003
FBGN0267408	4228
FBGN0038115	1557
FBGN0038745	4139
FBGN0038321	2091
FBGN0266538	2012
FBGN0263594	2691
FBGN0083984	600
FBGN0051162	82
FBGN0039378	1520
FBGN0015568	2123
FBGN0267107	624
FBGN0267759	300
FBGN0038881	7188
FBGN0259139	2258
FBGN0267159	662
FBGN0038423	1481
FBGN0262112	1154
FBGN0266732	1240
FBTI0062737	199
FBGN0039258	1099
FBGN0039415	2161
FBGN0039325	1367
FBGN0264427	822
FBGN0004841	3223
FBGN0275433	376
FBTR0304200_DF_NRG	21
FBTI0019345	363
FBGN0267674	496
FBGN0002924	2720
FBGN0039008	1308
FBGN0259721	1117
FBGN0051211	2927
FBGN0283548	74
FBGN0038717	1666
FBTR0445469_DF_NRG	22
FBGN0267612	644
FBTI0062734	291
FBGN0263389	570
FBGN0051575	73
FBGN0263664	528
FBGN0037993	3490
FBGN0262962	619
FBGN0038049	1355
FBGN0005777	2509
FBGN0261238	9675
FBGN0042101	1336
FBTI0063301	55
FBGN0037891	1817
FBGN0039182	4622
FBGN0262808	701
FBGN0085345	907
FBGN0085383	4609
FBGN0267808	700
FBGN0051480	72
FBGN0040080	3279
FBGN0037383	2454
FBGN0037779	1002
FBGN0000533	1527
FBGN0264563	372
FBGN0263025	1297
FBGN0264291	651
FBTI0019286	4232
FBGN0010340	1200
FBGN0262327	103
FBGN0039722	695
FBGN0038490	983
FBGN0265276	6563
FBGN0014930	1210
FBGN0267315	579
FBGN0038809	2813
FBTI0020305	1104
FBGN0038678	456
FBGN0262434	75
FBGN0261996	796
FBTI0059756	1182
FBGN0037478	1016
FBGN0267708	500
FBGN0038428	1111
FBGN0015270	1995
FBGN0038853	5353
FBGN0267119	545
FBGN0038306	1804
FBGN0046876	901
FBTR0309665_DF_NRG	22
FBGN0051320	3431
FBGN0053333	576
FBGN0051268	1653
FBGN0051184	643
FBGN0038219	981
FBGN0051225	1677
FBTI0062533	165
FBGN0038756	410
FBGN0037276	3093
FBGN0039870	835
FBGN0003165	11798
FBGN0039463	1625
FBGN0039719	472
FBGN0038760	2766
FBGN0002781	12432
FBGN0039311	1358
FBGN0038034	2039
FBGN0053970	4058
FBGN0038332	2177
FBGN0024957	2901
FBGN0038017	1115
FBGN0011999	73
FBGN0267671	824
FBGN0023212	1207
FBGN0086057	93
FBGN0263400	1367
FBTI0061713	276
FBGN0027492	7655
FBTR0445445_DF_NRG	22
FBGN0011289	1645
FBGN0263986	2619
FBTI0019404	5175
FBGN0015269	10064
FBGN0038485	914
FBGN0265062	882
FBTI0063270	184
FBGN0010399	4170
FBGN0039369	923
FBGN0266750	6258
FBTR0472817_DF_NRG	22
FBGN0039054	4391
FBTI0062133	58
FBGN0286828	2328
FBGN0028734	4904
FBGN0039789	2679
FBGN0037988	1600
FBGN0037849	2357
FBGN0011766	6451
FBGN0262143	283
FBTI0062606	56
FBGN0267430	6490
FBTI0020308	541
FBTR0304424_DF_NRG	22
FBGN0051510	4289
FBTI0019447	7373
FBGN0037996	1861
FBGN0038535	4464
FBGN0260444	2189
FBGN0038437	470
FBTI0063898	33
FBGN0038369	1123
FBGN0038645	953
FBTI0019461	7534
FBGN0262904	1657
FBGN0037570	1898
FBGN0263047	748
FBGN0011785	7244
FBGN0039092	2088
FBGN0037705	7274
FBGN0267806	675
FBGN0038454	1811
FBTI0061004	52
FBGN0038643	357
FBGN0038238	663
FBGN0038838	526
FBGN0260743	1658
FBGN0039879	1812
FBGN0039246	1933
FBGN0267116	761
FBTI0061924	65
FBGN0039820	801
FBGN0067629	1315
FBGN0017590	4052
FBGN0039726	1005
FBGN0260634	9097
FBGN0037231	3326
FBGN0037829	1749
FBTI0063714	114
FBTI0059855	99
FBGN0267685	796
FBTI0061580	117
FBGN0284081	464
FBGN0037412	1522
FBGN0037817	1621
FBGN0051253	1228
FBGN0262858	481
FBGN0267383	660
FBGN0039598	1236
FBGN0287598	4308
FBGN0004876	6526
FBGN0012025	73
FBGN0039685	594
FBGN0039387	2202
FBGN0004117	2613
FBTI0061722	260
FBGN0037811	2407
FBGN0041102	619
FBGN0262514	672
FBGN0267216	400
FBGN0038354	2762
FBTI0019311	8425
FBGN0037834	1528
FBTI0063256	89
FBGN0003248	1365
FBTR0304336_DF_NRG	22
FBGN0000723	5437
FBGN0051030	1671
FBTR0309733_DF_NRG	23
FBGN0038199	857
FBGN0037313	1241
FBTR0304494_DF_NRG	22
FBGN0037890	1317
FBGN0039350	4549
FBGN0037546	4823
FBGN0015781	1168
FBGN0053294	2235
FBGN0267707	359
FBGN0051424	1779
FBGN0002522	3046
FBGN0037737	1847
FBGN0037498	1380
FBGN0051551	4182
FBGN0051514	3175
FBTI0019380	7198
FBGN0039215	3170
FBGN0039597	1325
FBGN0264901	534
FBGN0037943	2063
FBGN0038478	3602
FBGN0051382	72
FBGN0028684	1627
FBTI0061679	241
FBGN0051195	4001
FBGN0267440	870
FBGN0028487	3529
FBGN0002719	3074
FBTI0063748	174
FBGN0000279	386
FBGN0027841	1446
FBGN0261479	1114
FBGN0039696	3158
FBGN0039827	2932
FBGN0038331	1589
FBGN0085313	520
FBTI0019358	5122
FBGN0051202	1686
FBGN0267118	887
FBTI0061725	446
FBGN0039261	3361
FBGN0037630	2139
FBGN0266744	779
FBGN0267774	389
FBGN0267337	6273
FBGN0051143	83
FBGN0037746	2281
FBGN0038854	3171
FBGN0267200	382
FBGN0037656	1262
FBTI0063367	269
FBTI0061080	51
FBGN0039510	14788
FBGN0037700	1156
FBTI0020376	488
FBGN0038839	2869
FBTR0304522_DF_NRG	24
FBTI0062102	135
FBGN0039670	770
FBGN0039872	2114
FBGN0263023	618
FBGN0086052	96
FBGN0039599	940
FBGN0037466	3228
FBTI0019320	5017
FBGN0039101	1215
FBGN0011655	3425
FBGN0039274	1012
FBGN0039731	1507
FBTR0304415_DF_NRG	21
FBTI0019466	7543
FBGN0039250	2511
FBGN0015513	7465
FBGN0017581	6807
FBGN0020249	1583
FBGN0267651	2658
FBGN0051139	1312
FBGN0040600	1583
FBGN0024329	6046
FBGN0004842	2302
FBGN0039465	2635
FBGN0013343	4164
FBGN0261679	2285
FBGN0002940	1588
FBGN0027873	2431
FBGN0038197	4130
FBGN0039346	786
FBGN0082958	140
FBGN0039147	968
FBGN0263449	745
FBGN0266372	650
FBGN0038952	2693
FBGN0000139	2235
FBTR0309656_DF_NRG	22
FBGN0020238	3366
FBGN0038476	2433
FBGN0039341	1803
FBGN0037850	1116
FBTI0062076	77
FBGN0039873	1996
FBGN0037908	1864
FBGN0263383	836
FBGN0037270	1301
FBGN0038540	702
FBGN0267692	1259
FBGN0038965	1716
FBGN0039609	2127
FBGN0039424	1452
FBGN0003268	6479
FBGN0260935	4542
FBGN0026566	1159
FBGN0266700	1614
FBGN0262404	97
FBGN0037540	2649
FBGN0039703	976
FBGN0039080	1680
FBGN0039529	1507
FBGN0044871	894
FBGN0039674	1623
FBGN0051522	3468
FBGN0283535	2926
FBGN0023083	4423
FBGN0037902	1613
FBGN0051133	1532
FBGN0037395	1089
FBGN0265606	891
FBGN0012001	73
FBGN0039196	1506
FBGN0004107	2299
FBTI0063150	1743
FBGN0250823	7405
FBGN0037812	660
FBGN0037950	1872
FBGN0004197	5831
FBGN0260231	3446
FBGN0037512	1820
FBGN0037714	681
FBGN0039237	507
RR48301_TRANSPOSABLE_ELEMENT	4698
FBGN0267652	2658
FBGN0037844	1260
FBTR0309655_DF_NRG	21
FBTI0063802	50
FBGN0261839	2671
FBTR0309704_DF_NRG	22
FBGN0267199	679
FBGN0037883	487
FBGN0039877	2920
FBGN0014949	477
FBGN0038206	1377
FBTI0059759	2572
FBGN0039764	828
FBGN0038402	1363
FBGN0039286	3968
FBGN0038183	999
FBTI0020295	1141
FBGN0038412	2011
FBGN0038806	1020
FBGN0022943	600
FBTI0062394	50
FBGN0005585	1677
FBTR0472827_DF_NRG	21
FBGN0040212	3781
FBGN0053189	677
FBGN0040551	487
FBGN0064119	4064
FBGN0261885	10723
FBGN0039494	1391
FBGN0039591	2274
FBGN0051228	72
FBGN0267770	882
FBGN0037955	1873
FBGN0011701	2996
FBGN0086253	1534
FBGN0265161	976
FBGN0038498	3183
FBGN0267819	1043
FBGN0019940	1407
FBGN0037985	2384
FBTI0020312	714
FBGN0261987	2716
FBGN0039297	1045
FBTI0019299	6752
FBGN0038592	1847
FBGN0063127	505
FBTR0309683_DF_NRG	21
FBGN0038257	1666
FBGN0263453	918
FBTI0019283	6413
FBGN0264841	1848
FBGN0015240	2834
FBGN0039436	1025
FBGN0082923	147
FBGN0266233	766
FBGN0261261	7272
FBGN0038505	1585
FBGN0039109	1985
FBGN0051580	73
FBGN0027563	1449
FBTI0063873	96
FBGN0004387	5530
FBGN0265068	1978
FBGN0038422	2599
FBGN0038195	1981
FBGN0262477	4391
FBTI0060339	76
FBGN0039543	2899
FBGN0020018	1655
FBGN0002869	584
FBGN0267435	4872
FBGN0012026	73
FBGN0014366	1859
FBGN0037305	867
FBGN0037670	963
FBGN0038469	2214
FBGN0037923	1387
FBGN0037418	1167
FBGN0264912	249
FBGN0037708	1652
FBGN0038589	360
FBGN0040078	1659
FBGN0266446	3347
FBGN0038165	4932
FBTI0063928	193
FBGN0037668	908
FBGN0266717	15702
FBGN0039026	8549
FBGN0039332	1717
FBGN0039635	2041
FBGN0037786	1486
FBGN0278600	288
RR48332_TRANSPOSABLE_ELEMENT	8359
FBGN0038029	1121
FBGN0038755	3100
FBTR0309593_DF_NRG	24
FBGN0260440	2087
FBGN0037666	1139
FBTI0059824	118
FBGN0038744	3663
FBGN0267204	231
FBGN0038157	585
FBGN0026315	1781
FBGN0003651	5595
FBGN0043853	316
FBTI0019396	7617
FBGN0085391	9239
FBGN0038170	1204
FBGN0005649	4010
FBTI0062875	222
FBGN0039536	10271
FBGN0283562	61
FBGN0266734	571
FBGN0037307	991
FBGN0262559	1335
FBGN0037326	4885
FBGN0039796	1750
FBGN0038007	1777
FBTI0020313	916
FBGN0037377	1505
FBTI0063296	276
FBGN0262420	68
FBGN0037743	2527
FBGN0267702	1887
FBGN0039431	7490
FBGN0038475	3447
FBGN0263404	281
FBGN0038132	863
FBGN0262424	77
FBGN0039264	768
FBGN0263117	5288
FBGN0039240	4723
FBGN0051002	1663
FBTI0020323	1096
FBGN0264904	776
FBGN0037815	819
FBTI0061907	105
FBGN0265422	521
FBTI0019405	5148
FBGN0039804	4209
FBGN0086134	920
FBGN0027570	3136
FBGN0085309	376
FBGN0037933	1123
FBGN0037299	1041
FBGN0037912	1949
FBGN0037279	2744
FBGN0038145	2373
FBTI0019415	1264
FBGN0267568	712
FBGN0053293	661
FBTI0063104	749
FBGN0266742	1023
FBGN0038740	6617
FBGN0267138	597
FBGN0001297	7789
FBGN0039821	2643
FBGN0028968	3276
FBGN0013767	654
FBGN0265163	638
FBGN0040582	1301
FBGN0038390	2693
FBGN0038847	838
FBTI0019362	606
FBGN0264827	1602
FBGN0003512	1546
FBGN0286880	524
FBGN0024909	2261
FBGN0262983	2154
FBGN0038450	1712
FBGN0051438	680
FBGN0051091	2149
FBGN0065105	43
FBGN0038866	1384
FBTI0019297	1134
FBTI0019431	9102
FBGN0263484	161
FBTI0063753	50
FBTI0020335	192
FBGN0038894	1217
FBGN0039876	1317
FBGN0022344	938
FBGN0038550	1220
FBGN0266228	811
FBTI0062544	55
FBGN0038366	2433
FBGN0038989	1307
FBGN0026441	3988
FBGN0085305	1819
FBGN0038980	5405
FBGN0016119	704
FBTI0061702	404
FBGN0053630	639
FBGN0267132	1601
FBGN0267753	1918
FBGN0267751	2574
FBGN0010770	1477
FBGN0039049	3023
FBGN0038196	1006
FBGN0051497	74
FBGN0250846	2524
FBGN0267140	871
FBGN0016650	3222
FBGN0263402	529
FBGN0038630	1407
FBGN0263384	667
FBGN0083047	137
FBGN0286918	420
FBTI0061737	369
FBGN0037354	1014
FBGN0038461	1216
FBGN0039655	1233
FBGN0000246	2629
FBGN0026563	3425
FBGN0051274	1399
FBGN0038139	2932
FBGN0051491	72
FBGN0039830	1980
FBGN0037848	1791
FBGN0038870	3409
FBTI0062925	205
FBGN0086768	998
FBGN0267121	612
FBTI0061703	43
FBTI0019365	2120
FBGN0064126	3593
FBGN0004110	1664
FBGN0262023	536
FBGN0267564	490
FBGN0039403	773
FBGN0037516	838
FBGN0085346	1168
FBGN0262823	910
FBGN0267123	751
FBGN0285925	4871
FBGN0063649	4384
FBGN0266733	640
FBGN0053099	1248
FBTI0062080	228
FBGN0038286	4578
FBGN0027494	604
FBGN0039272	1408
FBGN0040682	1404
FBGN0039232	2151
FBGN0250821	1095
FBGN0003480	1384
FBGN0283560	77
FBGN0039734	2461
FBGN0053536	84
FBGN0051388	1562
FBGN0264816	1419
FBGN0038303	3634
FBGN0051441	1223
FBGN0038652	3261
FBGN0039611	2185
FBGN0266170	2255
FBGN0000447	1472
FBGN0039300	729
FBGN0263022	863
FBGN0039022	2267
FBGN0039098	773
FBGN0039626	1831
FBGN0010768	3258
FBGN0039848	1435
FBTI0019296	4237
FBGN0051526	632
FBTI0019329	302
FBGN0085308	691
FBTI0061727	68
FBTI0063889	244
FBGN0037602	410
FBGN0039690	1564
FBGN0051516	1668
FBGN0038073	4562
FBGN0263579	100
FBGN0262982	584
FBGN0265418	417
FBGN0250831	384
FBGN0051495	1695
FBGN0267710	585
FBGN0015402	5517
FBGN0002773	2286
FBTI0020372	5373
FBGN0012024	73
FBGN0011959	73
FBTR0309673_DF_NRG	24
FBGN0264899	377
FBGN0026634	3015
FBGN0051217	2289
FBTR0472760_DF_NRG	22
FBGN0039379	1894
FBGN0038361	974
FBGN0262127	5750
FBGN0266398	404
FBGN0051019	1980
FBGN0001321	2674
FBGN0261061	168
FBTI0019398	4146
FBTI0062069	50
FBTI0063896	281
FBGN0025781	2615
FBGN0286030	651
FBGN0038275	879
FBGN0039254	1645
FBTI0019337	9108
FBGN0038568	771
FBGN0039265	1146
FBGN0038697	1033
FBGN0263738	2445
FBGN0037680	1748
FBGN0051014	1708
FBGN0262024	352
FBGN0243511	3509
FBTI0063885	219
FBGN0085325	420
FBGN0039682	669
FBGN0020385	3481
FBGN0011845	72
FBTI0061784	509
FBGN0000036	11027
FBGN0038530	742
FBGN0037689	2767
FBGN0038313	953
FBGN0267649	4693
FBGN0267680	1088
FBGN0039104	833
FBGN0267108	321
FBGN0038914	531
FBGN0260745	3518
FBGN0038828	1362
FBGN0038414	1581
FBGN0278597	1457
FBGN0267682	553
FBGN0266382	716
FBGN0037773	1311
FBTI0019468	5144
FBGN0038642	3111
FBGN0083950	7339
FBTI0020328	7230
FBGN0000247	7026
FBTI0019429	4725
FBTI0064286	322
FBGN0028374	1033
FBGN0051242	72
FBGN0267926	492
FBGN0004577	2630
FBGN0266408	1835
FBGN0003510	3300
FBGN0038619	940
FBGN0038976	894
FBTI0019386	347
FBGN0267191	750
FBGN0043884	14639
FBGN0262883	488
FBGN0012003	73
FBGN0262364	584
FBGN0038957	1661
FBGN0267801	383
FBGN0038797	1119
FBTI0062168	30
FBGN0038247	6745
FBTI0062496	45
FBGN0284419	402
FBGN0037213	5461
FBGN0286041	204
FBGN0038827	4587
FBGN0243512	3171
FBGN0085320	267
FBGN0011273	1224
FBGN0020626	3248
FBGN0054027	4560
FBGN0038108	8450
RR48372_TRANSPOSABLE_ELEMENT	5474
FBGN0266418	9604
FBTI0061689	204
FBGN0039315	1334
FBGN0267385	2242
FBGN0037443	3827
FBGN0038747	3980
FBGN0012002	73
FBGN0039638	2196
FBGN0004901	2105
FBGN0051054	523
FBTR0309664_DF_NRG	22
FBGN0038376	2986
FBGN0267194	211
FBGN0038380	1478
FBGN0039705	2563
FBTR0472729_DF_NRG	23
FBTI0019353	6917
FBGN0038057	1652
FBGN0023097	5811
FBGN0083986	495
FBGN0037376	1648
FBTI0061723	433
FBGN0037249	3892
FBGN0085306	1803
FBGN0039531	1375
FBTI0062144	569
FBGN0039883	13106
FBTI0062524	54
FBGN0054034	637
FBGN0051573	72
FBTI0062367	206
FBTI0019407	3547
FBGN0010401	604
FBGN0003129	2566
FBGN0039767	2529
FBGN0037910	725
FBGN0264915	1154
FBGN0264491	5086
FBGN0266730	612
FBGN0263527	59
FBGN0051515	469
FBGN0262383	100
FBGN0002354	551
FBGN0038143	2859
FBGN0038727	2921
FBGN0263755	2386
FBGN0039648	639
FBGN0004777	1097
FBTR0472815_DF_NRG	22
FBGN0004175	415
FBGN0267775	897
FBTI0020386	7255
FBGN0001139	4455
FBGN0265423	863
FBTI0019300	7045
FBTI0060979	80
FBGN0041710	1439
FBGN0267314	604
FBGN0045862	3085
FBTI0062601	122
FBGN0039064	7390
FBGN0038638	2404
FBGN0051331	73
FBGN0085382	5049
FBTI0061579	112
FBGN0039048	2959
FBGN0005632	10488
FBGN0039592	1180
FBTR0304253_DF_NRG	22
FBGN0051334	72
FBGN0037439	2151
FBGN0051081	1059
FBGN0085413	9058
FBGN0267153	1406
FBGN0039491	2897
FBTI0061792	28
FBGN0039413	1210
FBGN0087013	4364
FBGN0265083	851
FBGN0039779	1683
FBGN0039509	954
FBGN0283554	61
FBGN0051021	1496
FBGN0039050	3171
FBGN0014342	2590
FBGN0267777	1479
FBGN0262323	93
FBGN0038607	2041
FBGN0023178	680
FBTR0472809_DF_NRG	22
FBGN0267675	796
FBTI0059752	1154
FBGN0051161	1666
FBGN0037489	2572
FBGN0266242	455
FBGN0037624	2253
FBGN0261844	4276
FBGN0039835	704
FBGN0262233	117
FBGN0259227	5541
FBGN0051361	4475
FBGN0037650	857
FBGN0037722	1295
FBGN0038865	1855
FBGN0039854	1548
FBGN0266413	1042
FBTI0062468	101
FBTI0062160	569
FBGN0261575	2104
FBGN0261006	140
FBGN0267111	6900
FBGN0262028	3022
FBGN0039861	3214
FBGN0038460	1272
FBTI0020349	420
FBGN0026562	1201
FBGN0261840	3406
FBGN0001230	2231
FBGN0041711	1844
FBGN0039190	921
FBGN0010438	575
RR48405_TRANSPOSABLE_ELEMENT	7145
FBGN0039161	1441
FBGN0051282	74
FBGN0260466	4064
FBGN0267339	1184
FBGN0015279	4839
FBGN0038149	1122
FBGN0259194	1836
FBGN0039233	708
FBGN0000015	11791
FBGN0039622	686
FBGN0262174	119
FBGN0039093	2058
FBGN0261550	5637
FBGN0037972	1171
FBGN0051055	2073
FBGN0262539	476
FBTI0062489	183
FBGN0259991	2158
FBGN0037382	2311
FBGN0037573	1481
FBTI0019414	7335
FBGN0038886	1683
FBGN0037601	2138
FBGN0038142	643
FBGN0051570	73
FBGN0016691	802
FBGN0051191	4416
FBGN0264740	1155
FBGN0267210	757
FBTI0020316	7718
FBTI0019313	8527
FBGN0038343	551
FBGN0264694	946
FBGN0261842	2455
FBGN0263343	1525
FBTI0061515	50
FBGN0053325	965
FBGN0083985	1072
FBGN0265318	823
FBGN0051471	74
FBTR0304500_DF_NRG	24
FBGN0287601	810
FBGN0039023	2272
FBGN0260399	3099
FBGN0267131	3451
FBTI0062757	1563
FBTI0020368	420
FBGN0263979	1828
FBGN0000140	6338
FBGN0038037	1758
FBGN0039554	2491
FBGN0038071	2464
FBGN0027539	2831
FBGN0051221	4352
FBGN0002921	6680
FBGN0260969	679
FBGN0267764	525
FBTI0019445	6998
FBGN0038209	945
FBGN0267112	1428
FBGN0037217	1485
FBGN0039711	1229
FBTI0020325	4648
FBGN0001215	2743
FBGN0265351	1225
FBGN0038268	2776
FBGN0039071	1795
FBTR0304229_DF_NRG	24
FBGN0039086	1758
FBGN0037698	12531
FBGN0039299	1039
FBGN0027608	3429
FBGN0002592	957
FBGN0046689	1323
FBGN0025808	1823
FBGN0038981	1921
FBGN0063298	1893
FBGN0039338	4688
FBGN0038134	1147
FBGN0285955	9760
FBTI0019335	3031
FBGN0266238	1237
FBGN0040679	359
FBGN0042102	1567
FBGN0261995	1366
FBGN0004779	754
FBGN0038716	2190
FBGN0263460	147
FBGN0039538	976
FBTI0063783	97
FBGN0039360	1572
FBGN0026314	1672
FBGN0264902	442
FBGN0020546	6447
FBGN0038092	1892
FBGN0011474	4183
FBGN0261649	7148
FBGN0037537	1309
FBGN0038975	10699
FBGN0266253	349
FBTI0059740	1458
FBGN0039163	1119
FBGN0003257	2039
FBGN0266404	2969
FBGN0038280	1265
FBGN0027544	4135
FBGN0083048	136
FBGN0263390	2796
FBTI0061904	188
FBGN0038337	2532
FBGN0284234	3299
FBTR0304222_DF_NRG	23
FBGN0061476	2232
FBGN0267233	681
FBGN0038330	1844
FBGN0037284	449
FBGN0267443	755
FBGN0267781	536
FBGN0260463	3984
FBGN0039396	2986
FBGN0051523	4032
FBGN0038931	1335
FBGN0044826	4983
FBTI0062074	79
FBGN0037981	1395
FBGN0037433	778
FBGN0085324	867
FBGN0267676	592
FBTI0019366	5520
FBGN0037224	1235
FBGN0267681	809
FBGN0003450	1435
FBGN0039562	2841
FBGN0043069	1488
FBGN0040259	1994
FBGN0266739	331
FBGN0039836	1075
FBGN0051189	831
FBGN0019624	796
FBGN0038849	1237
FBGN0038731	1705
FBTI0061867	46
FBGN0037338	2589
FBGN0028688	1393
FBTR0304305_DF_NRG	21
FBGN0038144	1535
FBGN0283468	3492
FBGN0039802	733
FBGN0287225	2457
FBGN0267939	1658
FBGN0040493	2435
FBTI0059798	436
FBGN0263544	99
FBGN0016685	1080
FBTI0063897	368
FBTI0059725	1753
FBGN0039136	1956
FBTI0063085	1073
FBGN0037446	1515
FBGN0038721	4351
FBGN0263412	721
FBGN0011672	5647
FBTI0019422	7614
FBGN0039697	1156
FBGN0027518	2702
FBGN0037873	906
FBGN0039713	1250
FBGN0039602	4103
FBGN0039067	2744
FBGN0039589	2179
FBGN0264830	262
FBGN0037760	5638
FBGN0039118	1064
FBGN0266247	422
FBGN0038063	7519
FBGN0039349	1876
FBTI0063920	57
FBGN0039667	2488
FBGN0039483	1072
FBGN0263480	150
FBGN0037432	745
FBGN0037896	1937
FBGN0267799	320
FBGN0038569	2543
FBGN0262363	329
FBGN0038658	648
FBGN0013813	15919
FBGN0038546	1787
FBGN0086054	75
FBGN0037621	1519
FBGN0002937	2164
FBGN0003169	4013
FBGN0004897	2195
FBGN0037780	2061
FBGN0262582	12579
FBGN0038741	1482
FBGN0051207	835
FBGN0025879	1591
FBGN0040253	1584
FBGN0085384	5589
FBTI0063746	231
FBGN0053551	73
FBGN0027562	2423
FBGN0039594	4491
FBTI0062446	28
FBGN0037324	1941
FBGN0038234	734
FBGN0039197	1633
FBGN0266566	5376
FBGN0019925	1641
FBGN0039480	1781
FBGN0037611	946
FBTI0063300	263
FBGN0266599	2716
FBGN0039065	1677
FBGN0038765	1258
FBGN0267818	1451
FBGN0004186	164
FBGN0262994	392
FBGN0038217	1006
FBGN0038584	1999
FBGN0039687	736
FBGN0263652	1283
FBGN0038492	7334
FBGN0037885	880
FBTI0019372	1762
FBTI0059907	33
FBTI0019424	1406
FBGN0266268	1521
FBGN0038942	490
FBGN0040623	493
FBTI0062759	1001
FBGN0037485	1925
FBTI0061927	161
FBGN0051176	2511
FBGN0051477	490
FBGN0039204	1514
FBGN0038179	807
FBGN0038588	2619
FBGN0037574	1643
FBGN0038878	1293
FBTI0061865	333
FBGN0038511	3081
FBGN0026576	2110
FBGN0266916	4682
FBGN0261932	592
FBGN0039305	493
FBGN0038014	976
FBGN0038484	1085
FBGN0250910	6101
FBGN0265274	2242
FBGN0263413	7596
FBTI0061078	294
FBTR0445488_DF_NRG	22
FBGN0037618	1141
FBTI0062551	470
FBGN0039840	3815
FBGN0038156	5123
FBGN0051506	84
FBGN0267766	867
FBGN0026417	1169
FBGN0038028	1754
FBTI0061735	49
FBGN0037429	1138
FBTI0019403	7411
FBGN0001197	1224
FBTI0060417	259
FBGN0013278	2347
FBGN0038977	812
FBTR0309743_DF_NRG	23
FBGN0039376	1041
FBGN0024558	1128
FBGN0039875	2660
FBGN0039434	1030
