Symbol	GSM6160812	GSM6160813	GSM6160814	GSM6160821	GSM6160822	GSM6160823
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
PRDM16-DT	2	1	0	0	5	2
PRDM16	8	20	2	19	35	20
MIR4251	0	0	0	0	0	0
LOC105378606	0	0	0	0	0	0
LOC107984909	0	0	0	0	0	0
LOC105378605	0	0	0	0	0	0
LOC105378604	0	0	0	2	0	0
ARHGEF16	427	471	427	478	579	499
MEGF6	1080	1189	1159	587	682	662
LOC105378608	0	0	2	4	2	1
MIR551A	0	0	0	0	0	0
LOC105378607	0	0	0	0	0	0
TPRG1L	1418	1660	1479	1742	1718	1809
WRAP73	596	706	628	558	549	581
TP73	22	24	19	30	31	17
TP73-AS3	0	0	0	0	0	0
LOC105378609	0	0	0	0	0	0
TP73-AS1	641	652	554	536	510	484
CCDC27	5	2	2	2	3	2
SMIM1	17	19	15	25	19	20
LRRC47	1597	1789	1770	1697	1666	1599
CEP104	1572	1573	1566	1697	1495	1541
DFFB	186	213	216	137	157	157
LOC107984910	25	24	19	9	22	9
C1orf174	631	686	631	626	671	643
LINC01134	6	2	12	0	5	0
LINC01346	0	0	4	0	0	0
LINC01345	0	0	0	0	0	0
LINC02780	0	0	2	0	0	0
LINC01777	0	2	4	0	0	1
LOC105376674	0	0	0	1	0	0
LINC01646	0	0	0	0	0	0
LOC107985376	2	2	6	0	1	0
AJAP1	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	498	541	487	529	506	483
KCNAB2	1898	2017	1926	1593	1676	1537
CHD5	35	32	35	207	177	159
LOC105376687	0	0	0	0	0	0
RPL22	12044	11690	11998	10386	9767	10155
LOC107985733	65	52	49	53	51	54
RNF207-AS1	25	24	32	53	30	22
RNF207	417	494	436	292	337	377
ICMT	6204	6024	5851	5733	5662	5845
ICMT-DT	33	68	52	31	46	46
HES3	0	0	0	0	0	0
GPR153	95	106	99	213	185	183
ACOT7	2575	2541	2650	3054	3073	2806
HES2	64	46	41	198	158	186
ESPN	11	16	23	8	15	20
MIR4252	0	0	0	0	0	0
TNFRSF25	44	57	40	68	37	37
PLEKHG5	155	147	135	195	213	229
NOL9	605	632	624	730	557	635
TAS1R1	4	0	4	3	4	1
LOC107984912	1	0	0	0	0	0
ZBTB48	294	311	269	253	257	244
KLHL21	1147	1272	1228	1567	1529	1454
LOC107984913	6	2	4	5	2	6
PHF13	640	632	579	674	722	733
THAP3	960	945	1027	931	989	816
DNAJC11	2326	2228	2230	2243	2323	2144
LINC01672	0	0	0	0	0	0
CAMTA1-DT	12	16	18	21	17	16
CAMTA1	828	869	913	732	762	735
LOC105376692	0	0	0	0	0	0
CAMTA1-AS2	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0
LOC105376691	0	0	0	0	0	0
LOC105376689	4	2	2	4	2	3
VAMP3	4071	4188	4396	4279	4259	4445
PER3	326	360	328	174	176	189
UTS2	0	0	0	0	2	0
TNFRSF9	24	37	27	36	38	42
PARK7	6319	6667	7223	5943	5793	6070
ERRFI1	5717	5455	5519	3964	3856	3703
LOC107984915	3	0	0	0	2	0
LINC01714	0	0	4	0	1	0
LOC105376695	0	0	5	0	2	0
SLC45A1	301	260	253	207	225	194
RERE	2479	2519	2475	3605	3915	3712
RERE-AS1	0	3	0	2	6	1
SNORD128	0	0	0	0	0	0
ENO1	99722	103459	105980	109896	112677	107724
MIR6728	3	6	142	47	7	11
ENO1-AS1	30	46	22	28	38	26
LOC112268261	80	117	81	58	38	80
CA6	0	0	0	0	0	0
SLC2A7	2	8	7	1	5	0
SLC2A5	4	2	2	10	7	12
GPR157	259	328	363	660	634	588
MIR34AHG	375	316	363	435	420	404
MIR34A	1	1	0	2	0	1
LNCTAM34A	36	43	44	37	29	30
H6PD	1764	1762	1582	1650	1824	1736
SPSB1	1333	1463	1410	2518	2250	2100
LINC02606	9	18	10	12	16	10
SLC25A33	410	444	468	342	430	345
TMEM201	772	914	801	981	1010	846
LOC107985734	13	12	16	9	31	5
LOC105376712	0	0	0	0	0	0
PIK3CD	425	528	424	1103	1014	940
PIK3CD-AS1	0	0	0	0	0	0
PIK3CD-AS2	76	85	87	41	54	42
CLSTN1	6503	6403	6149	7660	7884	7604
CTNNBIP1	436	515	505	608	602	678
LOC105376717	15	28	22	31	26	33
LZIC	1433	1431	1411	1177	1323	1269
NMNAT1	395	391	352	316	277	276
TMEM274P	1	0	0	1	0	1
MIR5697	0	0	0	2	0	0
RBP7	8	8	27	16	26	18
UBE4B	2614	2539	2495	2803	3079	2723
KIF1B	2890	2766	2707	2828	2987	3143
LOC105376725	22	23	18	11	10	13
PGD	61185	61987	63660	55480	56972	55586
CENPS-CORT	472	530	507	443	457	443
CENPS	530	583	551	479	490	477
CORT	35	51	55	32	43	40
DFFA	2631	2405	2538	2069	1887	2057
PEX14	682	732	708	600	611	602
CASZ1	164	175	216	263	255	220
LOC105376733	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0
C1orf127	2	3	0	0	0	0
TARDBP	7092	6794	6740	6807	6927	6900
MASP2	42	38	58	11	19	8
SRM	4028	4339	4589	4032	4230	3578
EXOSC10	2577	2404	2784	2598	2667	2735
EXOSC10-AS1	56	57	61	56	58	56
MTOR	3740	3328	3138	3069	2937	3105
MTOR-AS1	36	38	27	32	31	43
ANGPTL7	0	0	0	0	0	0
UBIAD1	1293	1352	1339	1433	1481	1452
LOC105376737	0	0	0	0	0	0
LOC105376739	0	0	0	0	0	0
LOC105376740	0	0	0	0	0	0
DISP3	5	4	9	6	6	2
LOC112268221	0	0	1	1	1	0
LINC01647	2	0	2	6	0	0
FBXO2	170	171	152	137	136	167
FBXO44	687	784	775	786	787	642
FBXO6	353	311	379	448	460	375
MAD2L2	985	1132	1161	1099	1137	1033
DRAXIN	13	1	2	78	68	22
AGTRAP	1743	1844	1985	2628	2552	2329
C1orf167	161	166	136	139	139	146
C1orf167-AS1	0	0	0	0	0	1
MTHFR	704	646	583	595	596	605
CLCN6	836	759	776	620	577	622
NPPA-AS1	120	139	143	96	102	92
NPPA	6	15	13	7	4	6
NPPB	0	0	0	0	2	0
RNU5E-1	0	0	2	0	2	0
KIAA2013	2016	2380	2167	2270	2345	2114
PLOD1	4070	4247	4486	3983	3802	3733
MFN2	4234	4155	4030	4306	4585	4343
MIIP	517	452	464	454	416	426
MIR6729	2	1	2	1	0	1
TNFRSF8	6	10	12	10	12	6
MIR7846	1	1	0	1	0	0
TNFRSF1B	18	14	18	16	19	16
MIR4632	0	0	0	0	0	0
LOC107984917	0	0	0	0	2	0
VPS13D	2000	1710	1583	2034	2093	2288
SNORA59A	3	5	3	6	8	6
LINC02766	0	1	0	0	0	0
DHRS3	271	329	330	509	518	483
MIR6730	0	0	2	0	0	0
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
CFAP107	0	0	0	0	0	0
PRAMEF12	0	0	2	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	1	0	0	0
PRAMEF25	0	0	1	0	0	0
PRAMEF34P	0	0	0	0	0	0
HNRNPCL2	0	0	0	1	0	0
PRAMEF36P	0	0	0	0	0	0
PRAMEF26	0	0	1	0	0	0
HNRNPCL4	1	0	1	1	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	14	6	12	40	60	41
LOC102724856	0	0	0	1	0	1
LOC107984918	1	0	1	1	4	2
PDPN	0	0	2	3	0	0
LOC107984919	0	0	0	0	0	0
LOC105378612	0	0	0	0	0	0
LOC105376756	0	0	0	0	0	0
PRDM2	860	821	832	1168	1172	1252
KAZN	162	154	160	161	118	148
LOC107985467	0	0	0	0	0	0
LOC107985468	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0
LOC105376759	0	0	0	0	0	0
LOC107985469	0	0	0	0	0	0
TMEM51-AS1	18	23	18	15	17	15
TMEM51	802	745	818	898	1066	1124
TMEM51-AS2	6	4	0	2	4	2
FHAD1	22	12	12	13	8	11
FHAD1-AS1	0	3	3	6	0	0
EFHD2-AS1	3	2	6	1	2	8
EFHD2	2038	2252	2269	2180	1989	1825
CTRC	2	1	3	0	0	0
CELA2A	0	0	1	0	0	0
LOC105376767	2	0	1	0	0	0
CELA2B	6	2	7	5	5	1
CASP9	516	581	581	391	344	332
DNAJC16	1103	982	976	954	948	1072
SCARNA21B	0	0	0	0	0	0
AGMAT	758	683	742	663	623	719
DDI2	1300	1182	1089	2621	2531	2629
RSC1A1	240	240	204	476	503	520
PLEKHM2	1523	1600	1539	1958	1998	1794
SLC25A34	19	26	12	15	13	23
SLC25A34-AS1	2	1	1	4	2	6
TMEM82	0	8	0	0	0	2
FBLIM1	1184	1264	1150	1793	1693	1657
UQCRHL	67	71	57	90	59	70
SPEN-AS1	168	206	172	109	138	159
SPEN	2929	2598	2361	3910	3984	3977
ZBTB17	591	660	697	791	758	732
SRARP	2	2	0	4	6	8
HSPB7	1	4	2	7	13	12
CLCNKA	0	2	1	8	15	11
CLCNKB	0	6	6	6	0	6
FAM131C	315	404	390	464	396	328
EPHA2	5781	6284	6154	10191	10126	9009
EPHA2-AS1	38	53	28	51	82	79
ARHGEF19	264	293	291	272	260	244
ANO7L1	45	33	29	24	25	16
CPLANE2	140	81	85	102	87	75
FBXO42	830	846	850	681	661	694
SZRD1	3774	3517	3756	4446	4071	3887
SPATA21	2076	1900	2079	2271	2195	2174
NECAP2	1171	1117	1152	1297	1292	1189
LINC01772	33	25	13	34	18	33
CROCCP3	47	50	68	61	67	68
RNU1-1	0	0	0	0	0	0
TRN-GTT5-1	0	0	0	0	0	0
LINC01783	19	19	20	10	10	12
TRE-TTC4-1	2	2	3	2	0	2
TRG-CCC1-1	0	0	0	0	0	0
NBPF1	1601	1447	1393	1241	1229	1313
LOC105376794	449	480	410	393	439	413
CROCCP2	301	321	280	283	281	223
MST1P2	116	118	146	75	84	65
LOC107985736	3	6	3	3	3	0
RNU1-3	0	0	0	0	1	0
TRG-CCC4-1	0	0	0	0	0	0
ESPNP	0	0	0	0	0	0
TRG-CCC5-1	0	0	0	0	0	0
RNU1-4	0	0	0	0	1	0
MST1L	37	40	42	15	21	19
MIR3675	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0
LOC112267871	20	29	41	12	17	17
TRE-TTC3-1	1	6	4	1	2	1
TRN-GTT13-1	0	0	0	0	0	0
LOC105376805	252	271	250	213	223	238
TRN-GTT4-1	0	0	0	0	0	0
RNU1-2	0	0	1	0	1	0
CROCC	359	418	297	357	304	284
MFAP2	2	1	0	28	16	24
LOC105376806	0	0	0	3	3	4
ATP13A2	1830	1995	1775	2663	2555	2415
SDHB	3188	3246	3271	2812	3080	3126
PADI2	100	99	102	114	118	119
LOC105376808	0	0	0	0	0	0
LINC02783	3	2	17	7	6	8
PADI1	142	189	165	189	160	167
PADI3	53	66	43	45	51	39
MIR3972	0	0	0	0	0	0
PADI4	0	0	4	2	0	0
PADI6	0	0	0	0	0	0
RCC2	4036	4040	3971	5268	5276	5117
ARHGEF10L	1068	1126	1028	1077	1096	1060
LINC02810	0	0	0	0	0	0
ACTL8	51	51	53	65	40	54
LOC105376809	0	0	0	0	0	0
LOC105376812	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0
KLHDC7A	655	773	647	284	330	280
PAX7	812	828	918	839	859	890
TAS1R2	0	0	0	0	0	0
ALDH4A1	980	936	815	908	924	861
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0
IFFO2	697	705	586	1125	1208	1243
LOC105376815	1	0	2	2	1	0
UBR4	8113	7024	7090	7536	8253	7930
EMC1-AS1	115	102	100	82	108	96
EMC1	2982	3053	2903	2487	2695	2740
MRTO4	2263	2199	2452	1975	2146	2059
AKR7L	15	28	10	9	8	13
AKR7A3	9	14	15	11	14	6
LOC100506730	115	85	109	124	113	83
AKR7A2	1580	1474	1449	1379	1309	1234
SLC66A1	872	965	921	1019	951	981
CAPZB	4842	4824	5143	4878	4785	4589
LOC105376819	0	0	0	0	0	0
LOC105376818	0	0	0	0	0	0
LOC105376817	0	0	0	0	0	0
MICOS10-DT	0	0	0	2	0	0
MICOS10	1117	1163	1164	1162	1213	1154
MICOS10-NBL1	731	787	747	817	735	721
RPS14P3	2	6	5	11	3	17
NBL1	620	641	615	655	591	589
HTR6	10	10	6	4	2	2
TMCO4	466	472	505	396	402	431
RNF186	0	0	0	0	0	0
LOC105376823	2	0	0	0	0	0
OTUD3	274	352	292	241	275	311
PLA2G2E	0	0	0	0	0	0
PLA2G2A	10	15	4	8	2	6
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10	2	0	0	0	0	0
UBXN10-AS1	0	0	0	0	0	0
LOC105376825	0	0	0	0	0	0
LOC105376826	0	0	0	0	0	0
LINC01757	0	0	0	0	0	0
LOC105376828	0	0	0	0	0	0
VWA5B1	0	0	0	0	0	0
LINC01141	0	0	0	0	2	2
CAMK2N1	3583	3887	4036	4326	4221	3920
MUL1	1689	1677	1559	1846	1859	1777
FAM43B	84	94	100	108	109	96
CDA	371	498	487	651	640	574
PINK1	1284	1332	1304	1571	1564	1335
MIR6084	66	57	70	61	76	52
PINK1-AS	1478	1502	1538	1549	1593	1472
DDOST	8749	8777	9009	8705	8743	8672
KIF17	33	31	51	23	35	34
SH2D5	428	396	359	221	267	247
LOC112268222	1738	1748	1808	1442	1487	1431
HP1BP3	7082	6729	6478	5719	5952	5917
EIF4G3	3435	3169	2996	2790	2851	2940
LOC105376830	3	7	6	2	6	4
LOC105376829	0	0	2	0	2	0
MIR1256	0	0	0	0	0	1
ECE1	7133	6845	6562	11614	11785	11419
ECE1-AS1	26	11	12	21	32	13
LOC105376832	0	0	0	0	0	0
NBPF3	596	495	591	557	602	551
ALPL	16	29	28	170	147	163
LINC02596	1	3	2	5	8	4
RAP1GAP	7919	8207	8038	7347	7506	7260
USP48	1888	1782	1789	1311	1482	1628
LDLRAD2	754	740	722	697	707	596
HSPG2	6320	5740	5151	5366	5734	5207
CELA3B	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
LINC01635	11	8	2	14	6	16
LINC00339	610	719	664	658	712	661
CDC42-AS1	23	18	20	21	17	21
CDC42	7328	7123	7101	7972	8173	8108
WNT4	86	134	117	132	106	121
LOC105376845	30	19	21	19	21	28
LOC105376850	3	2	0	2	1	0
LOC107985377	0	0	2	0	0	0
MIR4418	0	0	0	0	0	0
LOC105376856	2	2	2	0	1	0
ZBTB40	1289	1255	1255	1117	1198	1198
EPHA8	0	1	0	2	0	0
MIR6127	0	0	0	0	0	0
C1QA	0	0	0	0	2	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	2284	2230	2193	7008	6753	6574
MIR4684	0	0	0	0	0	0
MIR4253	42	35	40	124	130	92
LACTBL1	0	0	0	0	0	0
TEX46	1	2	0	2	2	0
KDM1A	3830	3793	3729	4146	4428	4318
MIR3115	0	0	0	0	0	0
LUZP1	2661	2497	2320	4603	4840	4956
HTR1D	991	993	952	2450	2289	2283
LINC01355	72	62	47	75	83	69
HNRNPR	9378	9383	9403	10178	10529	10764
ZNF436	465	443	416	412	441	462
ZNF436-AS1	33	33	44	85	38	64
TCEA3	17	27	24	6	21	8
ASAP3	349	412	376	330	338	324
E2F2	943	860	1021	440	450	429
LOC101928163	17	24	17	14	11	10
LOC105376859	85	65	69	77	58	51
ID3	3751	3961	4304	4969	5128	4540
LOC107984928	2	16	7	19	36	14
MDS2	1	0	2	8	2	4
RPL11	16737	16738	17928	17967	17127	17443
ELOA	2098	1914	1936	2018	1990	2111
ELOA-AS1	188	181	148	146	136	137
PITHD1	883	952	944	851	856	888
LOC105376860	121	133	132	130	156	163
LYPLA2	1536	1706	1572	1819	1746	1667
GALE	2171	2283	2295	2641	2572	2503
HMGCL	626	592	725	562	629	554
LOC105376861	1	1	5	0	2	4
FUCA1	1053	1180	1065	1113	1215	1193
CNR2	0	0	0	0	2	0
LOC107984929	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
PNRC2	2068	2042	1897	2527	2605	2762
SRSF10	5468	5511	5421	3798	3922	4101
LOC105378615	0	0	0	0	0	0
LOC105376863	6	1	4	3	0	6
LOC107984931	18	18	15	27	20	24
MYOM3	801	740	737	975	874	916
MYOM3-AS1	1	3	2	3	12	4
LOC105376864	0	0	0	0	0	0
IL22RA1	139	182	167	410	425	360
IFNLR1	143	113	124	176	165	164
LINC02800	1	0	0	0	2	0
GRHL3-AS1	0	0	0	0	0	0
GRHL3	73	106	92	11	7	9
STPG1	397	457	427	536	578	508
NIPAL3	1627	1520	1578	1145	1192	1223
RCAN3AS	7	5	6	3	4	5
RCAN3	1067	1048	1035	1253	1341	1280
NCMAP-DT	51	48	42	52	43	41
NCMAP	186	233	205	54	70	48
SRRM1	2601	2559	2544	2212	2289	2122
CLIC4	4339	3960	3813	4232	4613	4419
LOC105376876	0	0	0	0	0	0
RUNX3	303	317	382	435	451	378
MIR6731	0	0	0	0	0	0
LOC107984932	0	0	1	0	0	2
RUNX3-AS1	0	2	6	6	10	1
MIR4425	0	0	0	0	0	0
LINC02793	0	2	0	0	2	2
SYF2	1372	1347	1378	1227	1404	1406
RSRP1	677	675	651	1017	1052	984
LOC105376882	0	0	0	0	0	0
RHD	1	0	1	0	0	0
TMEM50A	2358	2361	2368	2473	2471	2487
RHCE	1398	1433	1421	1433	1474	1450
MACO1	788	817	856	1097	1078	1046
LDLRAP1	1047	1140	1138	1090	1092	922
MAN1C1	49	56	57	72	78	58
SELENON	5022	5055	5010	5112	5112	4835
MTFR1L	1011	974	984	871	843	807
LOC646471	98	111	89	116	101	110
AUNIP	329	367	345	278	256	255
PAQR7	313	373	281	225	205	224
STMN1	8686	8744	8977	7414	7638	8000
MIR3917	320	297	302	306	289	285
LOC105376885	0	0	1	0	0	0
PAFAH2	999	996	1025	918	911	939
LOC101928216	0	2	0	1	1	0
EXTL1	0	6	2	0	1	5
SLC30A2	0	0	0	2	4	0
LOC105376910	0	0	0	0	0	0
TRIM63	0	0	2	0	0	0
PDIK1L	358	355	307	326	355	307
LOC105376886	1	0	0	0	0	0
FAM110D	12	4	10	14	14	8
C1orf232	0	0	0	0	0	0
ZNF593	530	577	630	538	590	519
CNKSR1	17	8	12	2	0	8
CATSPER4	0	0	0	0	0	0
ZPLD2P	0	0	0	0	0	0
CEP85	1116	997	982	920	873	951
SH3BGRL3	2914	2971	3238	3261	3385	2784
UBXN11	405	408	402	361	389	384
CD52	0	0	0	3	0	0
CRYBG2	67	46	49	27	20	41
ZNF683	0	0	0	0	0	0
LIN28A	0	2	0	0	0	0
DHDDS	857	852	896	886	863	978
DHDDS-AS1	5	13	4	2	3	4
HMGN2	10412	10704	10722	9972	9923	10054
RPS6KA1	1188	1177	992	759	862	824
MIR1976	0	0	0	0	0	0
LOC105376888	0	0	2	0	0	2
LOC101928728	46	44	31	44	31	20
ARID1A	3111	3166	2997	2959	3081	2898
PIGV	756	857	820	565	600	603
ZDHHC18	1234	1289	1243	1637	1747	1552
SFN	4277	4894	4686	7940	7940	7056
GPN2	904	851	799	949	1024	941
GPATCH3	346	405	365	398	330	392
NUDC	5259	5382	5431	5407	5390	5342
NR0B2	4	2	0	0	4	0
KDF1	0	0	0	0	0	0
TRNP1	5616	6125	6179	5601	5515	5177
TENT5B	41	47	36	18	16	10
LOC101928391	0	1	0	1	0	0
SLC9A1	993	1001	1024	1454	1520	1337
LOC102723760	0	0	0	0	0	0
WDTC1-DT	0	0	0	0	0	0
WDTC1	1462	1371	1359	1343	1269	1274
TMEM222	986	1141	1196	1454	1558	1444
ACTG1P20	27	19	24	23	16	25
SYTL1	41	47	43	11	17	12
MAP3K6	656	726	588	534	574	538
FCN3	9	9	9	4	4	1
CD164L2	0	0	0	0	0	0
GPR3	96	93	101	98	91	96
WASF2	4124	4177	3944	3985	4200	4299
LOC105376892	0	2	0	5	5	0
AHDC1	914	894	795	638	675	562
FGR	0	0	0	0	4	1
LINC02574	0	0	1	0	0	0
IFI6	432	412	465	434	461	464
FAM76A	290	325	358	306	292	263
STX12	1320	1316	1224	1195	1274	1264
PPP1R8	1667	1619	1595	1538	1673	1492
SCARNA1	0	0	0	0	1	0
THEMIS2	23	46	22	42	52	48
RPA2	1886	1937	1860	1475	1535	1551
SMPDL3B	102	94	99	80	78	85
XKR8	361	364	397	427	371	344
EYA3	653	566	668	645	638	679
PTAFR	23	56	59	16	18	17
DNAJC8	2691	2812	3010	2460	2565	2541
ATP5IF1	1874	1963	2161	2181	1969	2101
SESN2	509	586	510	634	571	583
MED18	558	573	541	531	643	598
PHACTR4	2727	2525	2385	3043	3166	3093
RCC1	3386	3363	3560	3870	4049	3934
SNHG3	1545	1767	1697	1516	1413	1383
SNORA73A	49	45	20	34	31	31
SNORA73B	31	28	42	11	12	6
TRNAU1AP	303	297	318	367	370	372
SNHG12	306	322	267	296	283	293
SNORD99	9	5	7	11	6	11
SNORA61	41	42	28	35	34	34
SNORA44	14	7	13	6	6	2
SNORA16A	21	23	16	16	18	24
RAB42	14	16	17	46	29	29
TAF12	799	811	865	707	622	655
TAF12-DT	5	13	17	4	4	9
